run_timestamp,city,slug,date,day_of_week,total_booked_hours
2026-01-15T20:22:38,st-louis-crestwood-mo,st-louis-crestwood-mo,2026-01-15,Thursday,45.5
2026-01-15T20:22:38,liberty-mo,liberty-mo,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,rollamo,rollamo,2026-01-15,Thursday,15.5
2026-01-15T20:22:38,bozemanmt,bozemanmt,2026-01-15,Thursday,40.0
2026-01-15T20:22:38,chapel-hill-nc,chapel-hill-nc,2026-01-15,Thursday,32.0
2026-01-15T20:22:38,raleigh-nc-north,raleigh-nc-north,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,lincoln-ne-south,lincoln-ne-south,2026-01-15,Thursday,40.5
2026-01-15T20:22:38,omahane,omahane,2026-01-15,Thursday,46.5
2026-01-15T20:22:38,papillionne,papillionne,2026-01-15,Thursday,30.0
2026-01-15T20:22:38,howell-nj,howell-nj,2026-01-15,Thursday,14.5
2026-01-15T20:22:38,pomptonplainsnj,pomptonplainsnj,2026-01-15,Thursday,71.0
2026-01-15T20:22:38,princetonnj,princetonnj,2026-01-15,Thursday,33.0
2026-01-15T20:22:38,toms-river-nj,toms-river-nj,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,lascruces-nm,lascruces-nm,2026-01-15,Thursday,19.5
2026-01-15T20:22:38,hendersonnv,hendersonnv,2026-01-15,Thursday,35.0
2026-01-15T20:22:38,mesquitenv,mesquitenv,2026-01-15,Thursday,24.5
2026-01-15T20:22:38,southsummerlinnv,southsummerlinnv,2026-01-15,Thursday,34.0
2026-01-15T20:22:38,summerlinlasvegasnv,summerlinlasvegasnv,2026-01-15,Thursday,29.0
2026-01-15T20:22:38,bethpage-ny,bethpage-ny,2026-01-15,Thursday,41.0
2026-01-15T20:22:38,fivetowns-ny,fivetowns-ny,2026-01-15,Thursday,23.0
2026-01-15T20:22:38,brunswickoh,brunswickoh,2026-01-15,Thursday,47.5
2026-01-15T20:22:38,chardonoh,chardonoh,2026-01-15,Thursday,12.0
2026-01-15T20:22:38,columbus-upper-arlington-oh,columbus-upper-arlington-oh,2026-01-15,Thursday,25.5
2026-01-15T20:22:38,north-canton-oh,north-canton-oh,2026-01-15,Thursday,40.0
2026-01-15T20:22:38,woosteroh,woosteroh,2026-01-15,Thursday,45.0
2026-01-15T20:22:38,jenks-ok,jenks-ok,2026-01-15,Thursday,21.0
2026-01-15T20:22:38,tulsa-ok-southern-hills,tulsa-ok-southern-hills,2026-01-15,Thursday,21.5
2026-01-15T20:22:38,clackamas-or,clackamas-or,2026-01-15,Thursday,1.0
2026-01-15T20:22:38,eugeneor,eugeneor,2026-01-15,Thursday,58.0
2026-01-15T20:22:38,salem-keizer-or,salem-keizer-or,2026-01-15,Thursday,35.0
2026-01-15T20:22:38,sherwoodor,sherwoodor,2026-01-15,Thursday,29.5
2026-01-15T20:22:38,paoli-pa,paoli-pa,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,yardley-pa,yardley-pa,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,york-pa,york-pa,2026-01-15,Thursday,96.0
2026-01-15T20:22:38,aikensc,aikensc,2026-01-15,Thursday,41.0
2026-01-15T20:22:38,spartanburgsc,spartanburgsc,2026-01-15,Thursday,47.5
2026-01-15T20:22:38,sioux-falls-sd-south,sioux-falls-sd-south,2026-01-15,Thursday,31.5
2026-01-15T20:22:38,chattanoogatn,chattanoogatn,2026-01-15,Thursday,39.0
2026-01-15T20:22:38,clarksvilletn,clarksvilletn,2026-01-15,Thursday,52.5
2026-01-15T20:22:38,cleveland-tn,cleveland-tn,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,franklintn,franklintn,2026-01-15,Thursday,33.0
2026-01-15T20:22:38,knoxvilletn,knoxvilletn,2026-01-15,Thursday,48.0
2026-01-15T20:22:38,memphis-tn-collierville,memphis-tn-collierville,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,mt-juliet-tn,mt-juliet-tn,2026-01-15,Thursday,23.0
2026-01-15T20:22:38,nashville-bellevue-tn,nashville-bellevue-tn,2026-01-15,Thursday,9.0
2026-01-15T20:22:38,spring-hill-tn-north,spring-hill-tn-north,2026-01-15,Thursday,42.0
2026-01-15T20:22:38,allen-tx,allen-tx,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,amarillo-tx,amarillo-tx,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,houston-atascocita-tx,houston-atascocita-tx,2026-01-15,Thursday,23.5
2026-01-15T20:22:38,eastaustintx,eastaustintx,2026-01-15,Thursday,33.5
2026-01-15T20:22:38,southwestaustintx,southwestaustintx,2026-01-15,Thursday,27.5
2026-01-15T20:22:38,colleyville-tx,colleyville-tx,2026-01-15,Thursday,22.5
2026-01-15T20:22:38,denton-tx,denton-tx,2026-01-15,Thursday,12.0
2026-01-15T20:22:38,flowermoundtx,flowermoundtx,2026-01-15,Thursday,46.0
2026-01-15T20:22:38,granburytx,granburytx,2026-01-15,Thursday,11.5
2026-01-15T20:22:38,grand-prairie-tx,grand-prairie-tx,2026-01-15,Thursday,23.0
2026-01-15T20:22:38,houstonheightstx,houstonheightstx,2026-01-15,Thursday,38.0
2026-01-15T20:22:38,houston-memorial-tx,houston-memorial-tx,2026-01-15,Thursday,38.0
2026-01-15T20:22:38,katy-tx,katy-tx,2026-01-15,Thursday,15.5
2026-01-15T20:22:38,kellertx,kellertx,2026-01-15,Thursday,31.5
2026-01-15T20:22:38,lubbock-tx,lubbock-tx,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,woodlands-houston-tx,woodlands-houston-tx,2026-01-15,Thursday,30.0
2026-01-15T20:22:38,mckinney-tx,mckinney-tx,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,midlandtx,midlandtx,2026-01-15,Thursday,44.5
2026-01-15T20:22:38,east-odessa-tx,east-odessa-tx,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,planowesttx,planowesttx,2026-01-15,Thursday,24.5
2026-01-15T20:22:38,round-rock-tx,round-rock-tx,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,shenandoah-tx,shenandoah-tx,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,sherman-tx,sherman-tx,2026-01-15,Thursday,22.0
2026-01-15T20:22:38,spring-tx,spring-tx,2026-01-15,Thursday,6.0
2026-01-15T20:22:38,tylersouthtx,tylersouthtx,2026-01-15,Thursday,49.0
2026-01-15T20:22:38,americanforkut,americanforkut,2026-01-15,Thursday,45.5
2026-01-15T20:22:38,cedarcity,cedarcity,2026-01-15,Thursday,43.0
2026-01-15T20:22:38,layton-ut,layton-ut,2026-01-15,Thursday,21.0
2026-01-15T20:22:38,lehiut,lehiut,2026-01-15,Thursday,38.0
2026-01-15T20:22:38,millcreekut,millcreekut,2026-01-15,Thursday,17.0
2026-01-15T20:22:38,murrayut,murrayut,2026-01-15,Thursday,20.5
2026-01-15T20:22:38,ogden-pleasant-view-ut,ogden-pleasant-view-ut,2026-01-15,Thursday,31.5
2026-01-15T20:22:38,ogden-riverdale-ut,ogden-riverdale-ut,2026-01-15,Thursday,5.0
2026-01-15T20:22:38,orem-ut,orem-ut,2026-01-15,Thursday,39.5
2026-01-15T20:22:38,richfield,richfield,2026-01-15,Thursday,8.5
2026-01-15T20:22:38,sandyut,sandyut,2026-01-15,Thursday,24.5
2026-01-15T20:22:38,spanishforkut,spanishforkut,2026-01-15,Thursday,32.5
2026-01-15T20:22:38,stgeorgeut,stgeorgeut,2026-01-15,Thursday,17.5
2026-01-15T20:22:38,st-george-ut-river-rd,st-george-ut-river-rd,2026-01-15,Thursday,25.0
2026-01-15T20:22:38,st-george-ut-sunset,st-george-ut-sunset,2026-01-15,Thursday,22.5
2026-01-15T20:22:38,lynchburg-va,lynchburg-va,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,virginia-beach-va-courthouse,virginia-beach-va-courthouse,2026-01-15,Thursday,0.0
2026-01-15T20:40:43,ponte-vedra-fl,ponte-vedra-fl,2026-01-15,Thursday,21.0
2026-01-15T20:40:43,port-charlotte-fl,port-charlotte-fl,2026-01-15,Thursday,29.0
2026-01-15T20:40:43,spring-hill-fl,spring-hill-fl,2026-01-15,Thursday,19.0
2026-01-15T20:40:43,alpharetta-ga,alpharetta-ga,2026-01-15,Thursday,0.0
2026-01-15T20:40:43,dacula-ga,dacula-ga,2026-01-15,Thursday,26.5
2026-01-15T20:40:43,woodstock-ga,woodstock-ga,2026-01-15,Thursday,0.0
2026-01-15T20:40:43,fishers-in,fishers-in,2026-01-15,Thursday,44.0
2026-01-15T20:40:43,southborough-ma,southborough-ma,2026-01-15,Thursday,56.0
2026-01-15T20:40:43,crofton-md,crofton-md,2026-01-15,Thursday,0.0
2026-01-15T20:40:43,towson-baltimore-md,towson-baltimore-md,2026-01-15,Thursday,0.0
2026-01-15T20:40:43,white-marsh-baltimore-md,white-marsh-baltimore-md,2026-01-15,Thursday,0.0
2026-01-15T20:40:43,farmington-mi,farmington-mi,2026-01-15,Thursday,26.5
2026-01-15T20:40:43,grand-blanc-mi,grand-blanc-mi,2026-01-15,Thursday,29.0
2026-01-15T20:40:43,lansing-mi,lansing-mi,2026-01-15,Thursday,42.0
2026-01-15T20:40:43,livonia-mi,livonia-mi,2026-01-15,Thursday,41.5
2026-01-15T20:40:43,novi-mi,novi-mi,2026-01-15,Thursday,0.0
2026-01-15T20:40:43,rochester-hills-mi,rochester-hills-mi,2026-01-15,Thursday,26.0
2026-01-15T20:40:43,troy-mi,troy-mi,2026-01-15,Thursday,20.0
2026-01-15T20:40:43,west-bloomfield-mi,west-bloomfield-mi,2026-01-15,Thursday,0.0
2026-01-15T20:40:43,chapel-hill-nc,chapel-hill-nc,2026-01-15,Thursday,32.0
2026-01-15T20:40:43,howell-nj,howell-nj,2026-01-15,Thursday,14.5
2026-01-15T20:40:43,toms-river-nj,toms-river-nj,2026-01-15,Thursday,0.0
2026-01-15T20:40:43,bethpage-ny,bethpage-ny,2026-01-15,Thursday,41.0
2026-01-15T20:40:43,fivetowns-ny,fivetowns-ny,2026-01-15,Thursday,23.0
2026-01-15T20:40:43,columbus-upper-arlington-oh,columbus-upper-arlington-oh,2026-01-15,Thursday,25.5
2026-01-15T20:40:43,north-canton-oh,north-canton-oh,2026-01-15,Thursday,40.0
2026-01-15T20:40:43,paoli-pa,paoli-pa,2026-01-15,Thursday,0.0
2026-01-15T20:40:43,yardley-pa,yardley-pa,2026-01-15,Thursday,0.0
2026-01-15T20:40:43,york-pa,york-pa,2026-01-15,Thursday,96.0
2026-01-15T20:40:43,lynchburg-va,lynchburg-va,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,ankeny-ia,ankeny-ia,2026-01-15,Thursday,16.0
2026-01-15T21:51:20,des-moines-waukee-ia,des-moines-waukee-ia,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,ascension-la,ascension-la,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,st-louis-crestwood-mo,st-louis-crestwood-mo,2026-01-15,Thursday,45.5
2026-01-15T21:51:20,liberty-mo,liberty-mo,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,jenks-ok,jenks-ok,2026-01-15,Thursday,21.5
2026-01-15T21:51:20,cleveland-tn,cleveland-tn,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,mt-juliet-tn,mt-juliet-tn,2026-01-15,Thursday,23.0
2026-01-15T21:51:20,nashville-bellevue-tn,nashville-bellevue-tn,2026-01-15,Thursday,9.0
2026-01-15T21:51:20,allen-tx,allen-tx,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,amarillo-tx,amarillo-tx,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,houston-atascocita-tx,houston-atascocita-tx,2026-01-15,Thursday,23.5
2026-01-15T21:51:20,colleyville-tx,colleyville-tx,2026-01-15,Thursday,22.5
2026-01-15T21:51:20,denton-tx,denton-tx,2026-01-15,Thursday,12.0
2026-01-15T21:51:20,grand-prairie-tx,grand-prairie-tx,2026-01-15,Thursday,23.0
2026-01-15T21:51:20,houston-memorial-tx,houston-memorial-tx,2026-01-15,Thursday,38.0
2026-01-15T21:51:20,katy-tx,katy-tx,2026-01-15,Thursday,15.5
2026-01-15T21:51:20,lubbock-tx,lubbock-tx,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,woodlands-houston-tx,woodlands-houston-tx,2026-01-15,Thursday,30.0
2026-01-15T21:51:20,mckinney-tx,mckinney-tx,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,east-odessa-tx,east-odessa-tx,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,round-rock-tx,round-rock-tx,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,shenandoah-tx,shenandoah-tx,2026-01-15,Thursday,0.0
2026-01-15T21:51:20,sherman-tx,sherman-tx,2026-01-15,Thursday,23.0
2026-01-15T21:51:20,spring-tx,spring-tx,2026-01-15,Thursday,6.0
2026-01-16T08:24:48,birminghamal,birminghamal,2026-01-16,Friday,19.0
2026-01-16T08:24:48,huntsville-al-research-park,huntsville-al-research-park,2026-01-16,Friday,8.5
2026-01-16T08:24:48,chandleraz,chandleraz,2026-01-16,Friday,15.5
