slug,number_of_bays,average_hours_perbay,avg_daily_max_hours,avg_mon_max_hours,avg_tue_max_hours,avg_wed_max_hours,avg_thu_max_hours,avg_fri_max_hours,avg_sat_max_hours,avg_sun_max_hours
kellertx,,,29.88,29.5,24.0,30.38,30.75,27.0,37.0,30.5
knoxvilletn,,,59.93,58.25,53.38,53.88,62.0,64.88,67.12,60.0
lake-havasu-city-az,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lansing-mi,,,47.19,47.75,41.88,44.5,45.2,52.38,47.88,51.25
lascruces-nm,,,21.59,24.25,19.75,17.38,19.1,18.5,30.5,22.25
layton-ut,,,22.34,20.25,18.0,22.62,21.0,26.25,28.5,19.75
lehiut,,,42.54,41.5,43.38,42.75,42.88,42.75,47.25,37.25
liberty-mo,,,9.95,10.75,13.62,10.0,8.0,9.38,7.25,11.12
lincoln-ne-south,,,41.19,36.38,35.38,36.25,42.3,43.12,51.88,42.75
littleton-co,,,23.64,24.12,17.25,16.62,26.4,21.5,31.0,27.88
livonia-mi,,,47.48,48.0,46.38,41.38,40.8,44.75,53.62,59.12
loveland-co-johnstown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lubbock-tx,,,1.7,0.0,0.88,4.62,5.38,1.0,0.0,0.0
lynchburg-va,,,11.07,18.0,18.0,14.0,13.5,14.0,0.0,0.0
maynardma,,,31.36,27.25,22.5,26.75,35.6,30.5,41.88,34.0
mcdonoughga,,,21.21,18.62,18.0,19.88,20.3,18.62,28.62,24.62
mckinney-tx,,,11.29,6.5,9.38,11.0,12.5,18.75,11.88,9.0
memphis-tn-collierville,,,24.95,31.38,22.5,23.25,26.5,25.5,25.88,19.62
meridian-id,,,33.36,32.5,30.0,36.12,31.9,37.0,33.75,32.62
mesa-az-east,,,10.41,11.5,9.25,7.38,8.6,12.88,11.38,12.38
mesquitenv,,,20.79,19.0,20.0,21.12,22.8,18.38,23.0,20.75
midlandtx,,,55.82,50.12,53.12,55.38,53.62,62.0,61.38,55.12
midlothian-va,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
millcreekut,,,16.75,17.88,16.25,17.0,16.75,16.88,16.12,16.38
miramarbeach,,,32.02,33.5,34.0,29.88,33.2,27.62,33.62,32.0
mt-juliet-tn,,,28.88,30.5,24.75,26.25,30.25,27.5,35.88,27.0
murrayut,,,20.39,19.75,20.38,19.25,23.12,19.5,25.62,15.12
naples-fl-north,,,10.19,10.25,10.88,10.88,10.9,11.5,8.25,8.5
naplesfl,,,29.62,23.88,30.5,30.88,28.6,24.12,36.5,33.12
nashville-bellevue-tn,,,17.89,31.38,10.0,8.0,10.88,12.88,15.62,36.5
north-canton-oh,,,42.5,39.62,35.75,39.5,45.0,45.75,48.88,42.38
novi-mi,,,0.19,0.0,0.0,0.0,0.8,0.38,0.0,0.0
ogden-pleasant-view-ut,,,33.46,29.5,31.25,30.12,37.75,30.0,41.0,34.62
ogden-riverdale-ut,,,12.75,7.5,9.5,15.75,11.75,11.0,22.0,11.75
oldsmarfl,,,35.21,34.38,35.75,36.62,33.8,34.12,35.0,37.12
omahane,,,56.88,52.88,55.75,57.25,52.2,56.25,63.75,61.25
orem-ut,,,40.11,38.12,37.0,38.5,44.5,38.25,55.25,29.12
orlando-fl-waterford-lakes,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlandparkks,,,41.95,38.88,38.12,39.0,39.1,43.5,48.75,47.0
paoli-pa,,,38.84,42.38,38.5,40.38,32.3,43.38,39.5,37.12
papillionne,,,38.84,37.25,37.12,37.12,35.0,36.62,46.12,43.62
paradise-valley-az,,,18.38,12.25,15.5,12.62,10.2,25.0,39.38,15.75
planowesttx,,,29.14,27.12,25.0,26.38,29.88,27.0,37.12,31.5
pomptonplainsnj,,,67.62,55.62,69.0,64.5,66.1,76.38,76.75,65.38
ponte-vedra-fl,,,23.72,19.75,17.5,24.5,22.4,21.5,29.62,31.12
port-charlotte-fl,,,28.33,26.12,28.75,22.62,32.0,23.75,33.12,31.0
princetonnj,,,33.69,31.38,27.5,33.12,35.2,35.62,41.12,31.5
pueblowestco,,,32.03,31.12,26.0,24.75,30.1,40.0,40.5,32.25
raleigh-nc-north,,,16.91,18.25,13.38,10.5,12.2,20.62,27.25,17.38
rancho-mirage-ca,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
richfield,,,8.84,8.38,5.75,11.0,8.88,9.25,12.0,6.62
rochester-hills-mi,,,31.19,29.5,29.12,24.62,31.1,31.62,41.5,30.88
rollamo,,,26.09,25.5,19.38,19.62,20.4,30.88,39.0,29.25
round-rock-tx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salem-keizer-or,,,38.88,34.62,32.5,34.62,34.6,40.62,47.88,48.38
sandyut,,,40.5,39.12,38.88,39.38,43.38,39.12,46.5,37.12
